ID	TARGET_ID	ID_REF	TARGET_REF	MENOR
1973	1	1352	1	0.04591114500000071
1974	0	169	0	0.0018318440000015812
1975	1	898	0	0.0019367830000007746
1976	0	1843	0	0.004911399999999677
1977	1	1847	1	0.008239749000003016
1979	0	1362	1	0.0019375649999995304
1980	0	1101	1	0.006222681999999091
1981	1	1103	0	5.265300000001361E-4
1983	1	1868	1	0.002306563999997735
1992	0	172	0	0.007955121000009502
1995	0	1742	0	0.012724160000000317
1996	1	1056	1	0.013777626999996961
1997	0	1460	1	0.0036451939999988525
1998	1	448	1	0.032084755000000964
2005	1	1676	1	0.004908532000001742
2006	1	955	0	0.007227656999999277
2007	0	1723	1	0.014426421000001022
2009	0	1333	1	0.02133581600000234
2010	1	1632	0	0.026936998000001156
2012	0	1847	1	0.0238291660000014
2014	1	90	1	0.03329054499999984
2015	1	976	1	0.003636032999998484
2016	1	1398	1	0.029959808000000976
2018	1	411	1	0.018679581000002443
2019	1	402	1	0.004083875000000958
2022	1	677	1	0.0029409669999997945
2023	1	1933	1	4.044599999994958E-4
2025	1	1858	1	0.02843635899998964
2027	0	1594	1	0.03116322200000146
2028	0	1294	1	0.0027476540000019867
2029	1	81	1	4.365499999914313E-5
2030	1	1925	1	0.040230432999997845
2032	1	754	1	0.0035309899999980132
2033	0	1734	0	0.04856639699999832
2034	0	1043	1	0.00899020400001005
2036	1	298	1	0.04598035199999817
2037	1	1736	1	0.019903186000014506
2038	0	355	1	0.0026196919999987855
2041	1	1038	1	0.005302358000001561
2042	1	79	0	0.005578412999996729
2043	1	200	1	0.021878045000003787
2049	1	1805	1	0.001830132000000928
2050	1	24	1	0.022384685999998766
2051	1	1432	1	0.026708161000001063
2056	1	1348	0	8.359600000229506E-5
2057	1	716	0	0.004433922000002255
2061	0	27	1	0.03369849699999872
2062	1	1602	1	0.019020597999999556
2067	1	448	1	0.011638439000001277
2068	1	1664	1	0.005505702999999862
2069	0	1541	1	0.01285490100000164
2071	1	1200	0	0.002343167999996787
2072	0	292	1	0.03040359000000059
2074	1	478	1	0.005222748999999638
2075	0	806	1	6.984500000051241E-5
2079	1	459	0	0.004133178000005344
2080	0	517	1	6.292990000016374E-4
2081	0	1531	0	0.010104392000003237
2083	1	803	1	0.13959249899999726
2085	1	177	1	0.010282533999999455
2087	0	1756	1	0.020435063999999725
2089	1	576	1	0.4162463910000014
2092	1	1946	1	0.013095709999998872
2093	1	1672	1	9.779399999993998E-4
2094	1	1765	1	0.04301924100000143
2096	1	891	1	0.06424512799999871
2098	1	1780	1	0.031288288999999914
2099	1	320	0	0.031931097000000186
2100	1	233	1	0.027049405999997944
2103	0	176	0	0.015404443999999962
2104	1	303	1	4.728400000342248E-5
2108	1	1257	1	0.093983508
2109	1	695	1	0.0035674110000019077
2111	1	1378	0	0.04149070500000107
2112	1	722	1	0.05153547899999911
2116	0	353	1	0.004595380999997678
2117	1	1214	0	0.015806527999998377
2121	0	1284	1	0.014055448000003246
2123	1	309	1	0.022659545999998976
2124	1	896	1	0.0013562470000005877
2125	0	1298	0	0.013726759999998173
2126	1	942	1	0.012665478000003283
2127	1	442	0	0.027567067999998862
2130	1	982	1	0.04688175899999969
2131	1	1686	0	0.0026535179999997993
2133	0	1815	1	0.015819706999999017
2134	0	1094	1	0.007263911999997763
2135	1	992	0	0.007266801000000989
2137	1	79	0	0.0017366900000013175
2138	1	417	1	0.05965743099999843
2144	1	5	1	9.95571000002471E-4
2145	1	208	0	0.00410633799999971
2149	1	6	1	0.05931695700000317
2150	1	1838	1	0.003352354999998308
2152	0	960	1	0.04014233600000239
2155	1	978	0	0.019038217000002966
2157	1	512	1	0.010797312999999864
2158	1	796	1	0.005262450999999224
2159	1	690	1	0.015875970999999378
2160	1	96	1	0.009076991000000145
2166	1	905	1	0.01165103000000034
2167	1	1284	1	0.022013231000001188
2170	1	386	1	0.004026122000001742
2171	0	304	0	0.006485373000000294
2172	0	860	0	0.008980797000001317
2173	1	1470	0	0.006409967999997601
2174	1	455	0	1.6563199999941602E-4
2179	1	493	1	0.00894658500000145
2180	0	126	1	0.0031038029999981287
2181	1	1689	1	0.008045258999998417
2183	1	1241	1	0.11877565199999429
2185	0	1768	1	5.262339999998478E-4
2186	0	860	0	0.006101791000001189
2187	0	886	1	0.0064961839999999604
2188	1	1711	1	0.00394236700000139
2189	1	970	1	0.08521374799999348
2190	1	1051	0	0.03776235500000036
2192	0	568	1	0.001437025999997843
2195	1	729	0	0.07323890099999042
2197	0	1116	0	0.028417607999999372
2201	1	771	0	7.748699999989839E-4
2203	1	310	1	0.0011278789999993322
2204	1	227	1	0.059303965000002457
2205	1	808	1	0.015800497000002522
2206	1	440	0	0.09796185300000015
2207	0	1101	1	0.002652458000000024
2208	1	1877	1	0.0048908900000017574
2210	0	401	1	0.012594974000000647
2211	0	808	1	0.01729608400000071
2212	1	1011	1	0.019574216999982852
2214	1	901	0	0.08723107200000246
2215	0	1722	0	0.003482066000001449
2216	1	1740	1	0.018236285999999602
2219	0	870	1	0.01160777600000018
2220	1	924	1	0.0024949730000010106
2221	1	112	1	0.012343398000000061
2222	1	1808	1	0.007503754999999224
2223	1	1199	1	0.005397896000000402
2226	1	1734	0	0.04263251699999948
2227	1	1339	1	0.0785431409999986
2228	1	75	1	0.013917802000000368
2229	0	309	1	0.014614063000000233
2230	1	266	1	1.4027600000154905E-4
2232	1	1368	1	0.0013282840000008456
2236	1	667	1	0.016629672000000095
2239	1	1632	0	0.019563760000000707
2241	1	944	1	0.16876993899999582
2243	1	168	1	0.007273568999999203
2245	1	1148	1	0.014082194000001103
2251	1	1747	1	0.002981185000002995
2253	1	1662	1	0.003174354000002211
2255	1	1252	0	0.005565667000014152
2256	1	1180	1	0.002400901999997984
2259	0	1521	1	0.059499567999989456
2260	1	555	1	2.2624799999881873E-4
2261	1	1883	0	0.009015850000005043
2263	1	548	0	0.0093966199999993
2264	1	482	1	0.0014444750000004447
2266	0	1284	1	0.03712642700000224
2267	1	335	0	5.393610000021809E-4
2269	1	1053	1	0.00850913499999928
2271	0	1863	1	0.007765265999996274
2272	1	1766	1	0.05531656399999374
2273	1	1338	1	0.013807904000000093
2274	1	1228	1	0.0043919480000029765
2275	1	33	1	0.006627721000001863
2276	1	1225	1	7.144260000000457E-4
2277	1	448	1	0.08292934299999821
2278	0	372	1	0.05596022700000258
2279	1	1603	1	0.19717721099999952
