ID,PredictedProb
17,1
41,1
49,1
50,0
60,1
68,1
71,1
97,1
104,1
114,0
118,1
131,1
136,1
137,0
139,1
140,1
146,1
151,1
159,1
181,1
185,1
188,0
191,1
193,1
205,1
213,1
221,0
222,1
237,1
238,1
246,1
248,1
272,1
275,1
283,1
284,1
287,0
288,1
291,1
313,1
314,0
323,1
326,1
336,0
337,0
345,1
348,1
357,1
368,1
376,1
378,1
392,0
414,0
416,1
436,1
451,1
461,1
484,1
490,1
491,1
506,1
513,1
522,1
542,0
545,1
550,1
553,1
577,1
590,0
597,0
604,1
606,1
607,0
617,1
625,1
633,0
637,1
638,0
643,0
645,0
656,1
668,1
671,1
676,1
678,1
682,1
699,1
708,1
724,0
731,0
735,1
737,0
738,1
750,1
758,1
773,1
774,1
778,1
780,1
783,1
807,1
816,1
823,1
833,1
838,1
844,1
856,1
864,1
875,1
880,1
883,0
915,0
933,1
936,1
951,0
987,1
997,1
1005,0
1016,1
1021,0
1033,1
1059,0
1062,1
1066,1
1070,1
1071,0
1077,1
1079,0
1085,1
1118,1
1122,0
1124,1
1125,1
1126,0
1128,1
1132,1
1133,0
1138,1
1139,1
1140,1
1141,1
1144,1
1173,0
1187,1
1196,0
1211,1
1223,1
1236,1
1258,1
1263,1
1265,1
1268,1
1270,1
1277,1
1280,1
1283,0
1295,1
1297,1
1305,1
1307,1
1318,0
1325,0
1342,1
1347,1
1358,1
1366,1
1375,1
1379,1
1381,1
1382,1
1393,0
1396,1
1399,1
1413,1
1417,1
1422,1
1425,1
1428,1
1430,1
1442,1
1451,1
1455,1
1458,1
1471,1
1476,1
1477,1
1481,1
1490,1
1498,1
1505,0
1510,0
1520,1
1523,1
1527,1
1561,0
1565,1
1581,1
1582,0
1586,1
1588,1
1630,1
1631,1
1633,1
1636,1
1644,1
1646,0
1648,0
1652,1
1654,0
1663,0
1679,1
1696,1
1700,1
1701,1
1708,1
1715,1
1718,1
1720,1
1724,1
1725,1
1741,1
1755,0
1767,1
1769,1
1781,1
1794,1
1795,1
1802,1
1809,1
1810,0
1811,1
1816,1
1817,1
1829,1
1851,0
1853,1
1855,1
1857,1
1864,1
1865,1
1872,1
1878,0
1896,1
1902,1
1917,1
1931,1
1932,1
1941,1
1942,1
1953,0
1956,1
1991,1
1993,1
1999,1
2000,1
2002,1
2020,1
2031,1
2035,0
2047,1
2059,0
2078,1
2088,1
2119,1
2162,1
2164,1
2184,0
2193,1
2234,1
2235,1
2237,1
2238,0
2240,1
2249,1
2257,0
2270,1
2280,1
2285,0
2289,1
2312,1
2340,1
2349,1
2376,0
2390,1
2391,1
2396,1
2399,1
2424,1
2430,1
2461,1
2462,0
2464,0
2484,1
2487,1
2506,1
2516,1
2521,0
2523,1
2532,1
2555,1
2559,1
2565,0
2569,1
2570,1
2582,1
2598,1
2634,1
2637,1
2644,0
2647,1
2651,1
2659,1
2662,0
2664,1
2676,1
2695,0
2702,0
2706,1
2714,1
2744,1
2745,1
2750,0
2755,1
2757,1
2760,1
2765,0
2768,0
2778,1
2791,1
2801,0
2808,1
2820,1
2828,1
2856,1
2873,0
2885,1
2903,1
2911,1
2915,0
2925,0
2929,0
2941,1
2944,1
2947,0
2952,1
2973,1
2987,1
3003,0
3013,1
3020,1
3055,1
3063,1
3067,1
3068,1
3071,1
3075,1
3077,1
3086,1
3089,1
3091,1
3092,1
3097,1
3102,1
3105,1
3117,1
3130,1
3134,1
3137,1
3144,0
3158,1
3165,1
3173,0
3176,1
3177,1
3198,1
3204,0
3209,0
3214,1
3219,1
3227,1
3233,0
3234,1
3239,1
3242,1
3244,1
3256,1
3258,1
3263,0
3266,1
3275,1
3276,1
3281,0
3292,1
3295,1
3297,0
3313,1
3322,1
3325,1
3327,1
3333,1
3337,1
3364,1
3372,1
3380,1
3394,1
3400,1
3408,1
3436,1
3438,1
3445,0
3452,1
3456,1
3474,1
3475,1
3478,1
3479,1
3493,1
3495,1
3503,1
3504,0
3507,0
3512,1
3515,1
3516,1
3522,0
3533,0
3541,1
3544,1
3546,0
3549,1
3560,1
3561,0
3563,1
3575,1
3578,1
3586,1
3596,1
3597,1
3605,1
3629,1
3630,1
3642,1
3658,1
3663,1
3675,1
3694,1
3701,1
3703,1
3731,0
3736,0
3737,1
3741,0
3745,1
3750,1
3753,1
3761,0
3767,1
3771,1
3785,0
3786,1
3798,1
3805,1
3814,0
3817,1
3820,1
3825,0
3826,1
3834,1
3864,1
3866,1
3876,0
3882,1
3885,1
3886,1
3891,1
3900,1
3901,0
3906,0
3908,1
3916,1
3917,1
3934,0
3937,1
3947,1
3951,1
3954,1
3956,0
3971,1
3979,1
3983,1
3990,1
3993,1
4000,0
4007,1
4010,1
4011,1
4015,0
4047,0
4051,1
4072,1
4076,1
4087,1
4088,1
4089,0
4100,1
4104,1
4112,1
4127,1
4133,0
4139,1
4154,1
4158,1
4172,1
4191,1
4207,1
4242,1
4274,0
4283,1
4299,1
4323,1
4337,0
4338,1
4351,1
4364,1
4365,0
4368,1
4373,1
4376,1
4393,0
4397,1
4399,1
4412,0
4419,1
4427,0
4435,1
4449,1
4468,1
4477,1
4490,0
4504,1
4543,1
4557,1
4561,1
4564,1
4566,1
4576,1
4580,0
4583,1
4605,1
4628,1
4648,1
4665,0
4669,1
4675,1
4679,0
4687,1
4700,1
4707,1
4714,1
4719,0
4721,1
4723,0
4730,1
4734,1
4737,0
4758,1
4760,0
4770,0
4771,0
4775,1
4778,0
4779,1
4786,1
4794,1
4799,0
4821,1
4822,1
4823,0
4826,0
4829,1
4846,0
4858,1
4866,0
4870,0
4872,1
4875,1
4876,1
4880,0
4899,1
4903,1
4904,1
4915,1
4925,1
4927,1
4928,1
4937,1
4941,1
4949,1
4956,0
4980,1
4983,0
4985,1
5001,1
5022,1
5025,1
5028,1
5032,1
5040,1
5054,0
5057,1
5058,1
5071,0
5075,1
5089,1
5099,1
5105,1
5119,1
5130,0
5143,1
5144,0
5164,1
5176,0
5177,1
5180,1
5186,1
5187,1
5199,1
5203,1
5208,1
5216,1
5223,1
5227,1
5230,1
5231,1
5239,1
5262,1
5278,1
5285,1
5290,0
5297,1
5304,1
5309,1
5326,0
5344,0
5347,1
5366,1
5369,0
5371,1
5373,1
5380,0
5393,1
5422,0
5423,1
5432,1
5433,0
5440,1
5446,0
5476,1
5477,1
5489,1
5501,0
5514,0
5517,1
5526,1
5546,1
5548,1
5588,1
5594,1
5604,0
5612,0
5616,1
5655,1
5657,1
5658,1
5669,1
5672,1
5676,1
5687,1
5688,1
5689,0
5690,1
5695,0
5716,1
5731,1
5735,1
5741,0
5744,1
5756,0
5773,1
5777,1
5785,1
5793,1
5807,1
5811,1
5816,0
5819,0
5823,0
5832,1
5836,1
5842,1
5853,1
5855,0
5862,1
